study,image,
CheXpert,patient01532_frontal.jpg,
CheXpert,patient01541_frontal.jpg,
CheXpert,patient01546_frontal.jpg,
CheXpert,patient01562_frontal.jpg,
CheXpert,patient01573_frontal.jpg,
CheXpert,patient01610_frontal.jpg,
CheXpert,patient01647_frontal.jpg,
CheXpert,patient01654_frontal.jpg,
CheXpert,patient01671_frontal.jpg,
CheXpert,patient01694_frontal.jpg,
CheXpert,patient01700_frontal.jpg,
CheXpert,patient01707_frontal.jpg,
CheXpert,patient01715_frontal.jpg,
CheXpert,patient01737_frontal.jpg,
CheXpert,patient01744_frontal.jpg,
CheXpert,patient01752_frontal.jpg,
CheXpert,patient01757_frontal.jpg,
CheXpert,patient01816_frontal.jpg,
CheXpert,patient01858_frontal.jpg,
CheXpert,patient01861_frontal.jpg,
CheXpert,patient01867_frontal.jpg,
CheXpert,patient01868_frontal.jpg,
CheXpert,patient01903_frontal.jpg,
CheXpert,patient01921_frontal.jpg,
CheXpert,patient01922_frontal.jpg,
CheXpert,patient01930_frontal.jpg,
CheXpert,patient01947_frontal.jpg,
CheXpert,patient01981_frontal.jpg,
CheXpert,patient01997_frontal.jpg,
CheXpert,patient01999_frontal.jpg,
CheXpert,patient02009_frontal.jpg,
CheXpert,patient02019_frontal.jpg,
CheXpert,patient02055_frontal.jpg,
CheXpert,patient02076_frontal.jpg,
CheXpert,patient02084_frontal.jpg,
CheXpert,patient02119_frontal.jpg,
CheXpert,patient02132_frontal.jpg,
CheXpert,patient02144_frontal.jpg,
CheXpert,patient02146_frontal.jpg,
CheXpert,patient02148_frontal.jpg,
CheXpert,patient02153_frontal.jpg,
CheXpert,patient02160_frontal.jpg,
CheXpert,patient02189_frontal.jpg,
CheXpert,patient02216_frontal.jpg,
CheXpert,patient02218_frontal.jpg,
CheXpert,patient02221_frontal.jpg,
CheXpert,patient02263_frontal.jpg,
CheXpert,patient02282_frontal.jpg,
CheXpert,patient02285_frontal.jpg,
CheXpert,patient02298_frontal.jpg,
CheXpert,patient02300_frontal.jpg,
CheXpert,patient02303_frontal.jpg,
CheXpert,patient02312_frontal.jpg,
CheXpert,patient02314_frontal.jpg,
CheXpert,patient02319_frontal.jpg,
CheXpert,patient02335_frontal.jpg,
CheXpert,patient02336_frontal.jpg,
CheXpert,patient02360_frontal.jpg,
CheXpert,patient02373_frontal.jpg,
CheXpert,patient02378_frontal.jpg,
CheXpert,patient02388_frontal.jpg,
CheXpert,patient02397_frontal.jpg,
CheXpert,patient02405_frontal.jpg,
CheXpert,patient02427_frontal.jpg,
CheXpert,patient02446_frontal.jpg,
CheXpert,patient02448_frontal.jpg,
CheXpert,patient02471_frontal.jpg,
CheXpert,patient02472_frontal.jpg,
CheXpert,patient02476_frontal.jpg,
CheXpert,patient02483_frontal.jpg,
CheXpert,patient02494_frontal.jpg,
CheXpert,patient02512_frontal.jpg,
CheXpert,patient02520_frontal.jpg,
CheXpert,patient02524_frontal.jpg,
CheXpert,patient02587_frontal.jpg,
CheXpert,patient02589_frontal.jpg,
CheXpert,patient02621_frontal.jpg,
CheXpert,patient02672_frontal.jpg,
CheXpert,patient02673_frontal.jpg,
CheXpert,patient02678_frontal.jpg,
CheXpert,patient02700_frontal.jpg,
CheXpert,patient02725_frontal.jpg,
CheXpert,patient02731_frontal.jpg,
CheXpert,patient02742_frontal.jpg,
CheXpert,patient02743_frontal.jpg,
CheXpert,patient02756_frontal.jpg,
CheXpert,patient02761_frontal.jpg,
CheXpert,patient02779_frontal.jpg,
CheXpert,patient02811_frontal.jpg,
CheXpert,patient02832_frontal.jpg,
CheXpert,patient02839_frontal.jpg,
CheXpert,patient02840_frontal.jpg,
CheXpert,patient02875_frontal.jpg,
CheXpert,patient02891_frontal.jpg,
CheXpert,patient02894_frontal.jpg,
CheXpert,patient02962_frontal.jpg,
CheXpert,patient02979_frontal.jpg,
CheXpert,patient02992_frontal.jpg,
CheXpert,patient03027_frontal.jpg,
CheXpert,patient03049_frontal.jpg,
CheXpert,patient03090_frontal.jpg,
CheXpert,patient03122_frontal.jpg,
CheXpert,patient03124_frontal.jpg,
CheXpert,patient03129_frontal.jpg,
CheXpert,patient03130_frontal.jpg,
CheXpert,patient03139_frontal.jpg,
CheXpert,patient03147_frontal.jpg,
CheXpert,patient03152_frontal.jpg,
CheXpert,patient03160_frontal.jpg,
CheXpert,patient03167_frontal.jpg,
CheXpert,patient03276_frontal.jpg,
CheXpert,patient03301_frontal.jpg,
CheXpert,patient03305_frontal.jpg,
CheXpert,patient03319_frontal.jpg,
CheXpert,patient03337_frontal.jpg,
CheXpert,patient03362_frontal.jpg,
CheXpert,patient03379_frontal.jpg,
CheXpert,patient03380_frontal.jpg,
CheXpert,patient03394_frontal.jpg,
CheXpert,patient03399_frontal.jpg,
CheXpert,patient03406_frontal.jpg,
CheXpert,patient03409_frontal.jpg,
CheXpert,patient03419_frontal.jpg,
CheXpert,patient03429_frontal.jpg,
CheXpert,patient03436_frontal.jpg,
CheXpert,patient03440_frontal.jpg,
CheXpert,patient03457_frontal.jpg,
CheXpert,patient03462_frontal.jpg,
CheXpert,patient03469_frontal.jpg,
CheXpert,patient03477_frontal.jpg,
CheXpert,patient03500_frontal.jpg,
CheXpert,patient03511_frontal.jpg,
CheXpert,patient03520_frontal.jpg,
CheXpert,patient03528_frontal.jpg,
CheXpert,patient03532_frontal.jpg,
CheXpert,patient03541_frontal.jpg,
CheXpert,patient03549_frontal.jpg,
CheXpert,patient03582_frontal.jpg,
CheXpert,patient03588_frontal.jpg,
CheXpert,patient03620_frontal.jpg,
CheXpert,patient03650_frontal.jpg,
CheXpert,patient03655_frontal.jpg,
CheXpert,patient03663_frontal.jpg,
CheXpert,patient03677_frontal.jpg,
CheXpert,patient03685_frontal.jpg,
CheXpert,patient03690_frontal.jpg,
CheXpert,patient03718_frontal.jpg,
CheXpert,patient03735_frontal.jpg,
CheXpert,patient03740_frontal.jpg,
CheXpert,patient03765_frontal.jpg,
CheXpert,patient03781_frontal.jpg,
CheXpert,patient03799_frontal.jpg,
CheXpert,patient03806_frontal.jpg,
CheXpert,patient03844_frontal.jpg,
CheXpert,patient03851_frontal.jpg,
CheXpert,patient03888_frontal.jpg,
CheXpert,patient03904_frontal.jpg,
CheXpert,patient03912_frontal.jpg,
CheXpert,patient03915_frontal.jpg,
CheXpert,patient03922_frontal.jpg,
CheXpert,patient03958_frontal.jpg,
CheXpert,patient03961_frontal.jpg,
CheXpert,patient03980_frontal.jpg,
CheXpert,patient03992_frontal.jpg,
CheXpert,patient03996_frontal.jpg,
CheXpert,patient04020_frontal.jpg,
CheXpert,patient04034_frontal.jpg,
CheXpert,patient04037_frontal.jpg,
CheXpert,patient04038_frontal.jpg,
CheXpert,patient04044_frontal.jpg,
CheXpert,patient04054_frontal.jpg,
CheXpert,patient04070_frontal.jpg,
CheXpert,patient04088_frontal.jpg,
CheXpert,patient04091_frontal.jpg,
CheXpert,patient04092_frontal.jpg,
CheXpert,patient04093_frontal.jpg,
CheXpert,patient04102_frontal.jpg,
CheXpert,patient04115_frontal.jpg,
CheXpert,patient04121_frontal.jpg,
CheXpert,patient04160_frontal.jpg,
CheXpert,patient04225_frontal.jpg,
CheXpert,patient04242_frontal.jpg,
CheXpert,patient04260_frontal.jpg,
CheXpert,patient04268_frontal.jpg,
CheXpert,patient04277_frontal.jpg,
CheXpert,patient04285_frontal.jpg,
CheXpert,patient04298_frontal.jpg,
CheXpert,patient04317_frontal.jpg,
CheXpert,patient04328_frontal.jpg,
CheXpert,patient04346_frontal.jpg,
CheXpert,patient04362_frontal.jpg,
CheXpert,patient04378_frontal.jpg,
CheXpert,patient04385_frontal.jpg,
CheXpert,patient04389_frontal.jpg,
CheXpert,patient04413_frontal.jpg,
CheXpert,patient04421_frontal.jpg,
CheXpert,patient04432_frontal.jpg,
CheXpert,patient04435_frontal.jpg,
CheXpert,patient04440_frontal.jpg,
CheXpert,patient04447_frontal.jpg,
CheXpert,patient04449_frontal.jpg,
CheXpert,patient04473_frontal.jpg,
CheXpert,patient04532_frontal.jpg,
CheXpert,patient04572_frontal.jpg,
CheXpert,patient04574_frontal.jpg,
CheXpert,patient04578_frontal.jpg,
CheXpert,patient04582_frontal.jpg,
CheXpert,patient04591_frontal.jpg,
CheXpert,patient04595_frontal.jpg,
CheXpert,patient04613_frontal.jpg,
CheXpert,patient04615_frontal.jpg,
CheXpert,patient04617_frontal.jpg,
CheXpert,patient04636_frontal.jpg,
CheXpert,patient04641_frontal.jpg,
CheXpert,patient04653_frontal.jpg,
CheXpert,patient04665_frontal.jpg,
CheXpert,patient04666_frontal.jpg,
CheXpert,patient04688_frontal.jpg,
CheXpert,patient04701_frontal.jpg,
CheXpert,patient04721_frontal.jpg,
CheXpert,patient04722_frontal.jpg,
CheXpert,patient04728_frontal.jpg,
CheXpert,patient04738_frontal.jpg,
CheXpert,patient04744_frontal.jpg,
CheXpert,patient04761_frontal.jpg,
CheXpert,patient04768_frontal.jpg,
CheXpert,patient04774_frontal.jpg,
CheXpert,patient04782_frontal.jpg,
CheXpert,patient04793_frontal.jpg,
CheXpert,patient04805_frontal.jpg,
CheXpert,patient04820_frontal.jpg,
CheXpert,patient04828_frontal.jpg,
CheXpert,patient04840_frontal.jpg,
CheXpert,patient04854_frontal.jpg,
CheXpert,patient04855_frontal.jpg,
CheXpert,patient04860_frontal.jpg,
CheXpert,patient04871_frontal.jpg,
CheXpert,patient04883_frontal.jpg,
CheXpert,patient04909_frontal.jpg,
CheXpert,patient04911_frontal.jpg,
CheXpert,patient04929_frontal.jpg,
CheXpert,patient04942_frontal.jpg,
CheXpert,patient05009_frontal.jpg,
CheXpert,patient05026_frontal.jpg,
CheXpert,patient05036_frontal.jpg,
CheXpert,patient05050_frontal.jpg,
CheXpert,patient05052_frontal.jpg,
CheXpert,patient05058_frontal.jpg,
CheXpert,patient05068_frontal.jpg,
CheXpert,patient05086_frontal.jpg,
CheXpert,patient05088_frontal.jpg,
CheXpert,patient05090_frontal.jpg,
CheXpert,patient05109_frontal.jpg,
CheXpert,patient05122_frontal.jpg,
CheXpert,patient05132_frontal.jpg,
CheXpert,patient05134_frontal.jpg,
CheXpert,patient05136_frontal.jpg,
CheXpert,patient05151_frontal.jpg,
CheXpert,patient05172_frontal.jpg,
CheXpert,patient05179_frontal.jpg,
CheXpert,patient05180_frontal.jpg,
CheXpert,patient05203_frontal.jpg,
CheXpert,patient05205_frontal.jpg,
CheXpert,patient05207_frontal.jpg,
CheXpert,patient05208_frontal.jpg,
CheXpert,patient05225_frontal.jpg,
CheXpert,patient05232_frontal.jpg,
CheXpert,patient05242_frontal.jpg,
CheXpert,patient05245_frontal.jpg,
CheXpert,patient05252_frontal.jpg,
CheXpert,patient05257_frontal.jpg,
CheXpert,patient05265_frontal.jpg,
CheXpert,patient05282_frontal.jpg,
CheXpert,patient05286_frontal.jpg,
CheXpert,patient05298_frontal.jpg,
CheXpert,patient05315_frontal.jpg,
CheXpert,patient05317_frontal.jpg,
CheXpert,patient05341_frontal.jpg,
CheXpert,patient05342_frontal.jpg,
CheXpert,patient05349_frontal.jpg,
CheXpert,patient05365_frontal.jpg,
CheXpert,patient05366_frontal.jpg,
CheXpert,patient05375_frontal.jpg,
CheXpert,patient05385_frontal.jpg,
CheXpert,patient05388_frontal.jpg,
CheXpert,patient05409_frontal.jpg,
CheXpert,patient05427_frontal.jpg,
CheXpert,patient05447_frontal.jpg,
CheXpert,patient05449_frontal.jpg,
CheXpert,patient05455_frontal.jpg,
CheXpert,patient05459_frontal.jpg,
CheXpert,patient05480_frontal.jpg,
CheXpert,patient05487_frontal.jpg,
CheXpert,patient05491_frontal.jpg,
CheXpert,patient05507_frontal.jpg,
CheXpert,patient05529_frontal.jpg,
CheXpert,patient05591_frontal.jpg,
CheXpert,patient05619_frontal.jpg,
CheXpert,patient05636_frontal.jpg,
CheXpert,patient05650_frontal.jpg,
CheXpert,patient05656_frontal.jpg,
CheXpert,patient05662_frontal.jpg,
CheXpert,patient05697_frontal.jpg,
CheXpert,patient05702_frontal.jpg,
CheXpert,patient05705_frontal.jpg,
CheXpert,patient05726_frontal.jpg,
CheXpert,patient05728_frontal.jpg,
CheXpert,patient05745_frontal.jpg,
CheXpert,patient05752_frontal.jpg,
CheXpert,patient05771_frontal.jpg,
CheXpert,patient05779_frontal.jpg,
CheXpert,patient05781_frontal.jpg,
CheXpert,patient05786_frontal.jpg,
CheXpert,patient05791_frontal.jpg,
CheXpert,patient05792_frontal.jpg,
CheXpert,patient05808_frontal.jpg,
CheXpert,patient05824_frontal.jpg,
CheXpert,patient05828_frontal.jpg,
CheXpert,patient05831_frontal.jpg,
CheXpert,patient05843_frontal.jpg,
CheXpert,patient05855_frontal.jpg,
CheXpert,patient05858_frontal.jpg,
CheXpert,patient05881_frontal.jpg,
CheXpert,patient05884_frontal.jpg,
CheXpert,patient05890_frontal.jpg,
CheXpert,patient05935_frontal.jpg,
CheXpert,patient05941_frontal.jpg,
CheXpert,patient05942_frontal.jpg,
CheXpert,patient05946_frontal.jpg,
CheXpert,patient05953_frontal.jpg,
CheXpert,patient05957_frontal.jpg,
CheXpert,patient05959_frontal.jpg,
CheXpert,patient05962_frontal.jpg,
CheXpert,patient05974_frontal.jpg,
CheXpert,patient05995_frontal.jpg,
CheXpert,patient06010_frontal.jpg,
CheXpert,patient06011_frontal.jpg,
CheXpert,patient06027_frontal.jpg,
CheXpert,patient06040_frontal.jpg,
CheXpert,patient06054_frontal.jpg,
CheXpert,patient06059_frontal.jpg,
CheXpert,patient06061_frontal.jpg,
CheXpert,patient06064_frontal.jpg,
CheXpert,patient06072_frontal.jpg,
CheXpert,patient06115_frontal.jpg,
CheXpert,patient06128_frontal.jpg,
CheXpert,patient06154_frontal.jpg,
CheXpert,patient06179_frontal.jpg,
CheXpert,patient06180_frontal.jpg,
CheXpert,patient06194_frontal.jpg,
CheXpert,patient06207_frontal.jpg,
CheXpert,patient06209_frontal.jpg,
CheXpert,patient06212_frontal.jpg,
CheXpert,patient06236_frontal.jpg,
CheXpert,patient06263_frontal.jpg,
CheXpert,patient06270_frontal.jpg,
CheXpert,patient06283_frontal.jpg,
CheXpert,patient06306_frontal.jpg,
CheXpert,patient06333_frontal.jpg,
CheXpert,patient06359_frontal.jpg,
CheXpert,patient06389_frontal.jpg,
CheXpert,patient06398_frontal.jpg,
CheXpert,patient06426_frontal.jpg,
CheXpert,patient06452_frontal.jpg,
CheXpert,patient06486_frontal.jpg,
CheXpert,patient06487_frontal.jpg,
CheXpert,patient06496_frontal.jpg,
CheXpert,patient06518_frontal.jpg,
CheXpert,patient06536_frontal.jpg,
CheXpert,patient06549_frontal.jpg,
CheXpert,patient06552_frontal.jpg,
CheXpert,patient06558_frontal.jpg,
CheXpert,patient06570_frontal.jpg,
CheXpert,patient06578_frontal.jpg,
CheXpert,patient06591_frontal.jpg,
CheXpert,patient06592_frontal.jpg,
CheXpert,patient06593_frontal.jpg,
CheXpert,patient06595_frontal.jpg,
CheXpert,patient06598_frontal.jpg,
CheXpert,patient06600_frontal.jpg,
CheXpert,patient06638_frontal.jpg,
CheXpert,patient06656_frontal.jpg,
CheXpert,patient06693_frontal.jpg,
CheXpert,patient06708_frontal.jpg,
CheXpert,patient06711_frontal.jpg,
CheXpert,patient06726_frontal.jpg,
CheXpert,patient06734_frontal.jpg,
CheXpert,patient06751_frontal.jpg,
CheXpert,patient06806_frontal.jpg,
CheXpert,patient06809_frontal.jpg,
CheXpert,patient06815_frontal.jpg,
CheXpert,patient06844_frontal.jpg,
CheXpert,patient06877_frontal.jpg,
CheXpert,patient06902_frontal.jpg,
CheXpert,patient06911_frontal.jpg,
CheXpert,patient06922_frontal.jpg,
CheXpert,patient06925_frontal.jpg,
CheXpert,patient06941_frontal.jpg,
CheXpert,patient06988_frontal.jpg,
CheXpert,patient06999_frontal.jpg,
CheXpert,patient07000_frontal.jpg,
CheXpert,patient07014_frontal.jpg,
CheXpert,patient07045_frontal.jpg,
CheXpert,patient07050_frontal.jpg,
CheXpert,patient07060_frontal.jpg,
CheXpert,patient07061_frontal.jpg,
CheXpert,patient07074_frontal.jpg,
CheXpert,patient07111_frontal.jpg,
CheXpert,patient07118_frontal.jpg,
CheXpert,patient07122_frontal.jpg,
CheXpert,patient07174_frontal.jpg,
CheXpert,patient07188_frontal.jpg,
CheXpert,patient07204_frontal.jpg,
CheXpert,patient07224_frontal.jpg,
CheXpert,patient07234_frontal.jpg,
CheXpert,patient07239_frontal.jpg,
CheXpert,patient07242_frontal.jpg,
CheXpert,patient07248_frontal.jpg,
CheXpert,patient07250_frontal.jpg,
CheXpert,patient07270_frontal.jpg,
CheXpert,patient07278_frontal.jpg,
CheXpert,patient07288_frontal.jpg,
CheXpert,patient07303_frontal.jpg,
CheXpert,patient07315_frontal.jpg,
CheXpert,patient07342_frontal.jpg,
CheXpert,patient07354_frontal.jpg,
CheXpert,patient07379_frontal.jpg,
CheXpert,patient07391_frontal.jpg,
CheXpert,patient07397_frontal.jpg,
CheXpert,patient07408_frontal.jpg,
CheXpert,patient07409_frontal.jpg,
CheXpert,patient07464_frontal.jpg,
CheXpert,patient07473_frontal.jpg,
CheXpert,patient07486_frontal.jpg,
CheXpert,patient07494_frontal.jpg,
CheXpert,patient07496_frontal.jpg,
CheXpert,patient07517_frontal.jpg,
CheXpert,patient07548_frontal.jpg,
CheXpert,patient07550_frontal.jpg,
CheXpert,patient07556_frontal.jpg,
CheXpert,patient07565_frontal.jpg,
CheXpert,patient07568_frontal.jpg,
CheXpert,patient07569_frontal.jpg,
CheXpert,patient07581_frontal.jpg,
CheXpert,patient07612_frontal.jpg,
CheXpert,patient07637_frontal.jpg,
CheXpert,patient07671_frontal.jpg,
CheXpert,patient07680_frontal.jpg,
CheXpert,patient07687_frontal.jpg,
CheXpert,patient07695_frontal.jpg,
CheXpert,patient07715_frontal.jpg,
CheXpert,patient07732_frontal.jpg,
CheXpert,patient07740_frontal.jpg,
CheXpert,patient07747_frontal.jpg,
CheXpert,patient07755_frontal.jpg,
CheXpert,patient07757_frontal.jpg,
CheXpert,patient07783_frontal.jpg,
CheXpert,patient07819_frontal.jpg,
CheXpert,patient07820_frontal.jpg,
CheXpert,patient07823_frontal.jpg,
CheXpert,patient07824_frontal.jpg,
CheXpert,patient07856_frontal.jpg,
CheXpert,patient07867_frontal.jpg,
CheXpert,patient07887_frontal.jpg,
CheXpert,patient07894_frontal.jpg,
CheXpert,patient07898_frontal.jpg,
CheXpert,patient07905_frontal.jpg,
CheXpert,patient07910_frontal.jpg,
CheXpert,patient07912_frontal.jpg,
CheXpert,patient07931_frontal.jpg,
CheXpert,patient07945_frontal.jpg,
CheXpert,patient07946_frontal.jpg,
CheXpert,patient07953_frontal.jpg,
CheXpert,patient07958_frontal.jpg,
CheXpert,patient07978_frontal.jpg,
CheXpert,patient08016_frontal.jpg,
CheXpert,patient08024_frontal.jpg,
CheXpert,patient08030_frontal.jpg,
CheXpert,patient08039_frontal.jpg,
CheXpert,patient08058_frontal.jpg,
CheXpert,patient08059_frontal.jpg,
CheXpert,patient08071_frontal.jpg,
CheXpert,patient08085_frontal.jpg,
CheXpert,patient08112_frontal.jpg,
CheXpert,patient08134_frontal.jpg,
CheXpert,patient08138_frontal.jpg,
CheXpert,patient08146_frontal.jpg,
CheXpert,patient08147_frontal.jpg,
CheXpert,patient08160_frontal.jpg,
CheXpert,patient08164_frontal.jpg,
CheXpert,patient08173_frontal.jpg,
CheXpert,patient08174_frontal.jpg,
CheXpert,patient08188_frontal.jpg,
CheXpert,patient08196_frontal.jpg,
CheXpert,patient08206_frontal.jpg,
CheXpert,patient08218_frontal.jpg,
CheXpert,patient08227_frontal.jpg,
CheXpert,patient08239_frontal.jpg,
CheXpert,patient08250_frontal.jpg,
CheXpert,patient08259_frontal.jpg,
CheXpert,patient08262_frontal.jpg,
CheXpert,patient08264_frontal.jpg,
CheXpert,patient08269_frontal.jpg,
CheXpert,patient08274_frontal.jpg,
CheXpert,patient08276_frontal.jpg,
CheXpert,patient08294_frontal.jpg,
CheXpert,patient08330_frontal.jpg,
CheXpert,patient08353_frontal.jpg,
CheXpert,patient08356_frontal.jpg,
CheXpert,patient08370_frontal.jpg,
CheXpert,patient08374_frontal.jpg,
CheXpert,patient08377_frontal.jpg,
CheXpert,patient08387_frontal.jpg,
CheXpert,patient08391_frontal.jpg,
CheXpert,patient08406_frontal.jpg,
CheXpert,patient08436_frontal.jpg,
CheXpert,patient08448_frontal.jpg,
CheXpert,patient08465_frontal.jpg,
CheXpert,patient08528_frontal.jpg,
CheXpert,patient08536_frontal.jpg,
CheXpert,patient08553_frontal.jpg,
CheXpert,patient08565_frontal.jpg,
CheXpert,patient08575_frontal.jpg,
CheXpert,patient08633_frontal.jpg,
CheXpert,patient08635_frontal.jpg,
CheXpert,patient08701_frontal.jpg,
CheXpert,patient08740_frontal.jpg,
CheXpert,patient08744_frontal.jpg,
CheXpert,patient08746_frontal.jpg,
CheXpert,patient08747_frontal.jpg,
CheXpert,patient08794_frontal.jpg,
CheXpert,patient08799_frontal.jpg,
CheXpert,patient08803_frontal.jpg,
CheXpert,patient08813_frontal.jpg,
CheXpert,patient08817_frontal.jpg,
CheXpert,patient08832_frontal.jpg,
CheXpert,patient08837_frontal.jpg,
CheXpert,patient08862_frontal.jpg,
CheXpert,patient08872_frontal.jpg,
CheXpert,patient08878_frontal.jpg,
CheXpert,patient08883_frontal.jpg,
CheXpert,patient08886_frontal.jpg,
CheXpert,patient08909_frontal.jpg,
CheXpert,patient08938_frontal.jpg,
CheXpert,patient08940_frontal.jpg,
CheXpert,patient08950_frontal.jpg,
CheXpert,patient08956_frontal.jpg,
CheXpert,patient08959_frontal.jpg,
CheXpert,patient08960_frontal.jpg,
CheXpert,patient08992_frontal.jpg,
CheXpert,patient09010_frontal.jpg,
CheXpert,patient09012_frontal.jpg,
CheXpert,patient09015_frontal.jpg,
CheXpert,patient09030_frontal.jpg,
CheXpert,patient09042_frontal.jpg,
CheXpert,patient09056_frontal.jpg,
CheXpert,patient09073_frontal.jpg,
CheXpert,patient09097_frontal.jpg,
CheXpert,patient09099_frontal.jpg,
CheXpert,patient09148_frontal.jpg,
CheXpert,patient09189_frontal.jpg,
CheXpert,patient09213_frontal.jpg,
CheXpert,patient09247_frontal.jpg,
CheXpert,patient09265_frontal.jpg,
CheXpert,patient09292_frontal.jpg,
CheXpert,patient09314_frontal.jpg,
CheXpert,patient09317_frontal.jpg,
CheXpert,patient09323_frontal.jpg,
CheXpert,patient09332_frontal.jpg,
CheXpert,patient09360_frontal.jpg,
CheXpert,patient09371_frontal.jpg,
CheXpert,patient09374_frontal.jpg,
CheXpert,patient09389_frontal.jpg,
CheXpert,patient09393_frontal.jpg,
CheXpert,patient09394_frontal.jpg,
CheXpert,patient09413_frontal.jpg,
CheXpert,patient09438_frontal.jpg,
CheXpert,patient09443_frontal.jpg,
CheXpert,patient09468_frontal.jpg,
CheXpert,patient09483_frontal.jpg,
CheXpert,patient09503_frontal.jpg,
CheXpert,patient09514_frontal.jpg,
CheXpert,patient09549_frontal.jpg,
CheXpert,patient09564_frontal.jpg,
CheXpert,patient09565_frontal.jpg,
CheXpert,patient09573_frontal.jpg,
CheXpert,patient09592_frontal.jpg,
CheXpert,patient09599_frontal.jpg,
CheXpert,patient09602_frontal.jpg,
CheXpert,patient09615_frontal.jpg,
CheXpert,patient09634_frontal.jpg,
CheXpert,patient09639_frontal.jpg,
CheXpert,patient09649_frontal.jpg,
CheXpert,patient09651_frontal.jpg,
CheXpert,patient09657_frontal.jpg,
CheXpert,patient09659_frontal.jpg,
